municipio,riqueza_palmas,bosque_pct,agro_pct,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total
Barbacoas,2,100.0,0.0,95,34,23,32,10,101,124,26,24,469
Vianí,2,0.0,100.0,1,0,0,0,0,0,0,0,0,1
Venecia,2,0.0,100.0,0,0,0,0,0,0,1,7,0,8
San Pablo,2,66.67,33.33,24,53,57,132,43,70,96,95,77,647
San Pelayo,2,8.33,91.67,0,0,0,0,0,0,0,0,0,0
Chimichagua,2,57.14,35.71,0,1,4,1,0,1,28,0,8,43
Santa Isabel,2,50.0,0.0,1,0,0,0,0,0,0,0,0,1
Chigorodó,2,0.0,100.0,5,192,3,1,0,6,2,2,17,228
Caucasia,2,0.0,66.67,3,5,5,0,2,9,3,4,5,36
Puerto Wilches,2,5.88,0.0,5,0,0,0,0,8,33,30,65,141
Retiro,2,0.0,100.0,2,0,0,3,0,4,5,9,0,23
El Bagre,2,33.33,0.0,59,80,50,106,24,124,92,293,608,1436
El Cerrito,2,67.74,29.03,0,0,0,0,0,0,0,0,0,0
Samaná,2,100.0,0.0,1,0,4,6,32,2,4,2,0,51
Envigado,2,50.0,50.0,0,0,0,0,0,0,0,0,0,0
El Tambo,2,100.0,0.0,121,38,34,114,3,43,41,5,23,422
San Luis de Palenque,2,91.67,8.33,4,0,0,0,0,0,0,25,15,44
San José de Uré,2,33.33,66.67,5,6,1,0,9,58,7,5,5,96
San José del Guaviare,2,100.0,0.0,909,1721,1675,1402,1055,676,1086,2198,2466,13188
San Juan Nepomuceno,2,100.0,0.0,0,78,87,49,19,21,80,33,27,394
Dibulla,2,50.0,50.0,101,102,109,65,25,5,170,11,35,623
Copacabana,2,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Curumaní,2,8.33,91.67,4,14,24,2,0,2,32,10,18,106
Dagua,2,33.33,33.33,13,20,1,0,1,19,18,7,15,94
Cocorná,2,27.27,72.73,0,0,0,0,0,0,1,0,0,1
San Onofre,2,1.15,98.85,0,32,30,12,14,18,82,16,29,233
Segovia,2,0.0,50.0,103,162,74,102,38,183,278,278,294,1512
Sibundoy,2,54.55,36.36,0,0,0,0,0,0,0,0,0,0
Calarcá,2,12.5,50.0,0,0,0,0,0,0,0,0,0,0
Talaigua Nuevo,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Supia,2,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Carepa,2,0.0,95.65,0,1,0,0,0,0,1,1,0,3
Sevilla,2,0.0,100.0,0,4,1,0,2,0,0,0,0,7
Santa Marta,2,86.96,13.04,227,365,281,273,79,23,264,18,239,1769
Santa Rosa,2,33.33,33.33,30,7,0,39,40,205,34,36,32,423
Pitalito,2,100.0,0.0,0,0,0,0,0,4,0,0,0,4
Filandia,2,27.27,36.36,0,0,0,0,0,0,0,0,0,0
Pore,2,50.0,50.0,1,0,1,0,0,0,0,4,13,19
Pueblo Nuevo,2,25.0,75.0,0,0,0,0,0,0,0,0,0,0
Puerto Gaitán,2,100.0,0.0,43,6,10,14,1,39,178,258,93,642
Puerto Libertador,2,0.0,100.0,45,38,8,0,30,101,27,16,94,359
Pajarito,2,50.0,50.0,0,0,0,0,0,0,0,0,3,3
Palestina,2,0.0,50.0,0,0,0,0,0,1,0,0,0,1
Guatapé,2,0.0,50.0,0,0,0,0,0,0,0,0,0,0
Guasca,2,100.0,0.0,0,0,0,0,0,0,0,0,0,0
Pasto,2,75.0,25.0,4,0,0,0,0,23,0,0,2,29
Hato Corozal,2,63.16,36.84,15,3,5,0,0,1,5,20,41,90
Hato,2,100.0,0.0,2,0,0,0,0,0,0,2,0,4
Génova,2,25.0,75.0,0,0,0,0,0,0,0,0,0,0
Paz de Ariporo,2,66.67,33.33,26,0,0,0,0,0,0,11,14,51
Piedecuesta,2,50.0,50.0,0,0,0,0,0,1,1,1,1,4
Garagoa,2,40.0,40.0,0,0,0,0,0,0,0,0,0,0
Garzón,2,66.67,33.33,0,0,0,0,0,0,0,0,0,0
Gamarra,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Florencia,2,100.0,0.0,75,4,29,1,38,109,211,106,46,619
Mutatá,2,25.0,75.0,76,138,31,9,2,24,18,1,13,312
Pacho,2,33.33,66.67,2,0,0,0,0,0,0,0,0,2
Mistrató,2,100.0,0.0,0,1,2,0,1,0,2,0,4,10
Montenegro,2,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Isnos,2,100.0,0.0,0,0,0,0,0,0,0,1,0,1
Mosquera,2,0.0,100.0,0,2,3,0,5,1,4,0,0,15
Jericó,2,0.0,100.0,0,0,0,0,0,1,2,0,0,3
Nechí,2,0.0,0.0,20,8,4,21,5,64,14,13,57,206
La Calera,2,71.43,14.29,0,0,0,0,0,0,0,0,0,0
Junín,2,90.0,0.0,4,0,0,0,0,0,0,0,0,4
Yondó,2,100.0,0.0,44,54,48,53,10,81,183,88,142,703
Yopal,2,60.87,39.13,4,0,0,0,1,0,0,3,2,10
La Plata,2,40.0,60.0,4,0,0,0,0,0,0,0,0,4
Lebrija,2,50.0,50.0,3,2,7,2,1,28,66,22,27,158
Marinilla,2,50.0,50.0,0,0,0,0,0,0,0,0,0,0
Villavicencio,2,50.0,50.0,9,0,0,0,0,0,0,0,0,9
Villa de Leiva,2,0.0,80.0,0,0,0,0,0,0,0,0,0,0
Andes,2,50.0,50.0,0,0,0,0,0,0,3,0,0,3
Acevedo,1,100.0,0.0,7,0,0,0,0,2,0,0,0,9
Aguazul,1,100.0,0.0,1,0,0,0,0,2,0,9,7,19
Amagá,1,0.0,100.0,0,0,0,1,0,0,2,0,0,3
Andalucía,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Angostura,1,0.0,100.0,3,0,0,0,0,0,0,0,0,3
Ansermanuevo,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0
Anzoátegui,1,0.0,100.0,2,0,0,1,0,0,0,0,5,8
Apartadó,1,0.0,100.0,1,0,6,4,0,11,9,3,0,34
Aranzazu,1,50.0,50.0,0,0,0,0,0,0,0,0,0,0
Aratoca,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Arauca,1,100.0,0.0,1,9,15,1,1,9,1,3,211,251
Vigía del Fuerte,1,100.0,0.0,50,146,0,3,1,23,9,3,5,240
Vijes,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Villa Caro,1,100.0,0.0,0,0,0,0,1,0,2,3,0,6
Villamaría,1,40.0,60.0,0,0,0,0,0,0,0,2,0,2
Villeta,1,0.0,100.0,0,0,0,0,2,0,0,0,0,2
Vistahermosa,1,0.0,100.0,160,449,275,498,467,360,232,1797,1071,5309
Viterbo,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Vélez,1,100.0,0.0,0,0,0,1,2,30,36,14,4,87
Yalí,1,100.0,0.0,1,0,6,0,9,8,71,11,51,157
Yotoco,1,0.0,0.0,0,0,0,0,0,0,1,0,0,1
La Paz,1,100.0,0.0,6,12,19,9,3,46,23,18,15,151
La Peña,1,0.0,100.0,0,0,0,0,4,0,0,0,0,4
La Primavera,1,100.0,0.0,0,0,2,0,0,0,0,0,0,2
La Tebaida,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
La Victoria,1,50.0,50.0,0,0,0,0,0,0,0,0,0,0
Landázuri,1,0.0,100.0,4,0,2,5,4,39,37,12,20,123
Liborina,1,100.0,0.0,1,0,0,0,0,1,0,0,0,2
Los Andes,1,0.0,100.0,5,0,3,2,1,7,2,0,0,20
Los Córdobas,1,50.0,50.0,0,0,0,0,0,0,0,0,0,0
Maceo,1,100.0,0.0,0,0,0,0,0,2,10,3,2,17
Madrid,1,0.0,100.0,0,0,0,0,0,0,0,0,0,0
Manaure Balcón del Cesar,1,100.0,0.0,0,1,1,3,0,0,0,3,0,8
Maní,1,0.0,0.0,3,0,0,0,0,0,0,4,6,13
Mariquita,1,0.0,33.33,0,0,0,1,0,0,0,0,3,4
Marmato,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0
Marulanda,1,100.0,0.0,0,0,0,0,0,0,0,0,0,0
María La Baja,1,0.0,100.0,0,17,20,17,8,0,24,3,3,92
Miraflores,1,0.0,100.0,141,119,298,225,260,188,347,459,776,2813
Mocoa,1,100.0,0.0,14,13,91,46,72,122,78,99,196,731
