municipio,riqueza_palmas,bosque_pct,agro_pct,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total,pred_alertas_2026
San Carlos,8,81.82,18.18,6,0,7,9,21,31,32,14,40,160,45.61
Vigía del Fuerte,1,100.0,0.0,50,146,0,3,1,23,9,3,5,240,45.58
El Guamo,1,0.0,0.0,0,2,4,5,8,14,45,19,67,164,45.373333333333335
San Luis,8,64.52,32.26,3,0,7,21,26,38,15,18,27,155,45.29333333333334
Cubará,1,100.0,0.0,3,0,4,0,1,7,18,38,52,123,44.36
La Paz,1,100.0,0.0,6,12,19,9,3,46,23,18,15,151,43.10666666666667
Rio Quito,1,100.0,0.0,117,116,10,3,3,27,32,21,20,349,43.056666666666665
Tarazá,1,0.0,100.0,82,61,18,7,7,88,30,25,9,327,42.93
Puerto Wilches,2,5.88,0.0,5,0,0,0,0,8,33,30,65,141,42.77
Apartadó,1,0.0,100.0,1,0,6,4,0,11,9,3,0,34,40.82
El Peñón,1,100.0,0.0,1,0,12,3,9,26,40,31,33,155,39.413333333333334
Yalí,1,100.0,0.0,1,0,6,0,9,8,71,11,51,157,39.02333333333333
Landázuri,1,0.0,100.0,4,0,2,5,4,39,37,12,20,123,38.696666666666665
Toledo,4,80.0,20.0,7,2,1,0,15,29,7,39,20,120,38.306666666666665
San Juan Nepomuceno,2,100.0,0.0,0,78,87,49,19,21,80,33,27,394,38.21
Chigorodó,2,0.0,100.0,5,192,3,1,0,6,2,2,17,228,37.696666666666665
Ciénaga,1,90.91,0.0,45,47,85,61,11,17,57,7,42,372,37.556666666666665
Cáchira,1,0.0,100.0,3,1,0,0,6,33,51,17,34,145,36.88
Lebrija,2,50.0,50.0,3,2,7,2,1,28,66,22,27,158,36.44
Agustín Codazzi,3,60.0,20.0,10,12,26,14,0,1,24,12,9,108,33.413333333333334
ETI Bajo Río Caquetá,1,75.0,25.0,0,0,7,68,3,10,60,30,27,205,32.27
Sonsón,7,71.43,21.43,4,0,0,38,38,18,13,18,22,151,29.593333333333334
San Onofre,2,1.15,98.85,0,32,30,12,14,18,82,16,29,233,29.263333333333332
Puerto Nare,6,33.33,66.67,2,0,2,5,3,15,10,13,19,69,29.23
Turbo,3,6.52,89.13,2,0,7,6,0,8,17,5,3,48,26.11
San Jacinto del Cauca,1,0.0,100.0,9,4,2,6,8,13,11,5,16,74,26.023333333333333
San Martín,1,0.0,100.0,23,4,32,2,2,18,14,1,5,101,24.71
Hato Corozal,2,63.16,36.84,15,3,5,0,0,1,5,20,41,90,24.436666666666667
Chalán,1,100.0,0.0,1,5,4,3,4,1,29,4,9,60,23.196666666666665
Betulia,3,71.43,28.57,1,0,3,0,4,13,24,28,18,91,22.343333333333334
Puerto Boyacá,5,10.53,89.47,0,0,5,5,5,3,8,15,21,62,21.636666666666667
Girón,4,20.0,40.0,0,0,2,0,5,15,27,23,20,92,21.226666666666667
San José de Uré,2,33.33,66.67,5,6,1,0,9,58,7,5,5,96,20.876666666666665
Santiago,3,80.0,20.0,0,0,0,1,1,11,11,16,18,58,20.633333333333333
El Litoral del San Juán,1,100.0,0.0,49,14,8,6,7,15,28,18,9,154,20.21
La Jagua de Ibirico,1,0.0,100.0,10,5,9,1,0,0,14,4,7,50,20.163333333333334
Dagua,2,33.33,33.33,13,20,1,0,1,19,18,7,15,94,19.366666666666667
Chaparral,1,100.0,0.0,1,0,3,0,0,1,0,0,39,44,19.346761904761905
Bahía Solano,3,66.67,0.0,38,58,18,12,2,7,6,18,4,163,18.543333333333333
San Martín de Loba,1,0.0,0.0,0,0,67,1,6,2,68,4,2,150,17.805333333333333
Chimichagua,2,57.14,35.71,0,1,4,1,0,1,28,0,8,43,17.71
San Luis de Palenque,2,91.67,8.33,4,0,0,0,0,0,0,25,15,44,17.6
Curumaní,2,8.33,91.67,4,14,24,2,0,2,32,10,18,106,17.573333333333334
