municipio,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total,riqueza_palmas,bosque_pct,agro_pct,pred_alertas_2026
Mosquera,0,2,3,0,5,1,4,0,0,15,2.0,0.0,100.0,7.043333333333333
Necoclí,0,0,5,0,0,2,1,0,0,8,1.0,0.0,100.0,7.003055555555557
Tauramena,6,0,0,0,0,1,0,3,7,17,2.0,97.96,2.04,6.97
Lejanías,1,4,3,0,1,0,3,11,0,23,0.0,0.0,0.0,6.866666666666666
Quípama,0,0,7,1,0,1,0,0,2,11,0.0,0.0,0.0,6.8133333333333335
Pailitas,0,2,7,2,0,3,17,6,1,38,0.0,0.0,0.0,6.81
Ríoblanco,1,0,1,1,0,1,0,1,11,16,0.0,0.0,0.0,6.756666666666667
Los Patios,0,0,0,0,0,0,2,1,10,13,0.0,0.0,0.0,6.67
Lourdes,0,0,1,0,1,3,9,3,1,18,0.0,0.0,0.0,6.463333333333333
Abriaquí,2,1,0,0,0,11,6,2,0,22,0.0,0.0,0.0,6.389277777777778
Casabianca,0,0,0,0,0,0,0,0,11,11,0.0,0.0,0.0,6.293333333333333
Morelia,4,0,6,0,1,3,12,4,6,36,0.0,0.0,0.0,6.126666666666667
Fresno,0,0,2,0,0,0,0,0,7,9,0.0,0.0,0.0,6.013333333333334
Mistrató,0,1,2,0,1,0,2,0,4,10,2.0,100.0,0.0,5.9383333333333335
Leiva,4,10,0,0,0,1,1,0,0,16,0.0,0.0,0.0,5.9070833333333335
Becerril,14,0,1,1,2,0,11,2,1,32,1.0,0.0,100.0,5.78
Valencia,1,0,1,4,1,1,3,28,0,39,0.0,0.0,0.0,5.758035714285714
La Dorada,4,2,2,0,4,0,1,0,0,13,4.0,11.11,88.89,5.623333333333333
Cartagena de Indias,0,0,0,1,0,9,0,1,5,16,1.0,100.0,0.0,5.397777777777778
Ríofrío,1,3,0,0,0,0,2,0,2,8,1.0,20.0,80.0,5.358425925925926
Samaniego,17,0,1,0,2,5,7,0,1,33,0.0,0.0,0.0,5.125833333333333
Potosí,1,0,0,0,0,6,0,0,0,7,0.0,0.0,0.0,5.120166666666667
Monterrey,1,0,0,0,0,6,0,0,0,7,0.0,0.0,0.0,5.120166666666667
Charalá,1,0,0,0,0,4,4,6,0,15,1.0,100.0,0.0,5.11
Pasto,4,0,0,0,0,23,0,0,2,29,2.0,75.0,25.0,4.978952380952381
Colón,0,0,0,0,0,15,0,0,0,15,0.0,0.0,0.0,4.892265873015872
Francisco Pizarro,7,0,0,2,0,5,7,0,0,21,0.0,0.0,0.0,4.7757236652236665
Nueva Granada,0,0,0,0,0,0,0,0,9,9,0.0,0.0,0.0,4.753333333333333
Regidor,0,0,3,0,0,1,4,0,0,8,0.0,0.0,0.0,4.523333333333333
Morroa,0,1,0,0,0,3,25,0,0,29,0.0,0.0,0.0,4.404833333333333
Cucutilla,0,0,2,1,0,3,2,1,1,10,0.0,0.0,0.0,4.306111111111111
Funes,0,0,0,0,0,8,0,0,0,8,0.0,0.0,0.0,4.123499999999999
Gámbita,4,0,0,0,3,6,0,2,2,17,3.0,28.57,42.86,4.022650793650794
Juan de Acosta,0,0,0,0,1,13,0,0,0,14,0.0,0.0,0.0,4.004210317460318
La Primavera,0,0,2,0,0,0,0,0,0,2,1.0,100.0,0.0,3.982141888340416
Santa Cruz,11,0,2,1,1,3,3,0,0,21,0.0,0.0,0.0,3.9222222222222225
Tenerife,0,0,4,1,0,0,2,0,0,7,1.0,50.0,0.0,3.8533333333333335
Nariño,2,0,2,0,0,0,2,0,0,6,1.0,100.0,0.0,3.818890553890553
Sabanas de San Ángel,0,0,3,0,0,0,0,16,0,19,0.0,0.0,0.0,3.816666666666667
Ortega,0,0,2,0,0,0,0,0,2,4,0.0,0.0,0.0,3.5977777777777775
La Tola,3,0,0,2,0,4,2,0,0,11,0.0,0.0,0.0,3.411139009139009
Florián,0,0,1,0,2,1,6,1,1,12,0.0,0.0,0.0,3.35
Zapatoca,0,0,1,0,2,2,4,3,4,16,3.0,22.22,22.22,3.33
Ariguaní,0,0,2,2,0,0,0,0,0,4,0.0,0.0,0.0,3.2533063973063983
Remolino,0,0,0,5,0,0,0,1,0,6,0.0,0.0,0.0,3.2442433862433857
Yacopí,1,0,0,0,4,0,12,6,0,23,0.0,0.0,0.0,3.1433333333333335
Salgar,0,2,0,0,1,2,6,0,0,11,1.0,0.0,100.0,3.119111111111111
Sopetrán,0,0,0,0,0,0,4,8,0,12,0.0,0.0,0.0,3.0766666666666667
Trujillo,1,8,0,1,0,0,2,0,0,12,2.0,100.0,0.0,3.010111111111111
Briceño,0,0,0,2,0,3,5,1,0,11,0.0,0.0,0.0,3.0075363155363157
Coromoro,0,0,0,0,0,4,1,0,5,10,0.0,0.0,0.0,2.9892222222222227
Jamundí,0,1,0,0,0,0,4,5,0,10,1.0,0.0,100.0,2.627222222222222
Caicedo,0,0,1,2,0,0,2,0,0,5,1.0,100.0,0.0,2.600772486772487
Ataco,0,0,3,0,0,0,0,0,0,3,0.0,0.0,0.0,2.5973957557813394
Caldas,0,0,0,0,0,0,6,1,0,7,0.0,0.0,0.0,2.5833333333333335
Bochalema,1,0,0,0,0,4,1,2,0,8,1.0,100.0,0.0,2.456111111111111
Sevilla,0,4,1,0,2,0,0,0,0,7,2.0,0.0,100.0,2.3433333333333333
Sotaquirá,0,0,0,0,0,4,0,0,0,4,1.0,100.0,0.0,2.07750709013209
Carmen de Viboral,0,0,0,0,5,0,7,0,0,12,6.0,100.0,0.0,2.07
Matanza,0,1,0,0,1,1,3,9,0,15,0.0,0.0,0.0,2.0505238095238094
Venecia,0,0,0,0,0,0,1,7,0,8,2.0,0.0,100.0,2.0219047619047616
El Castillo,3,1,0,0,0,0,6,1,0,11,0.0,0.0,0.0,2.0180555555555553
Paime,0,0,2,0,2,0,1,0,0,5,0.0,0.0,0.0,2.013333333333333
San Pedro de Urabá,0,0,1,2,0,0,0,0,0,3,3.0,77.78,22.22,1.994415343915344
San Zenón,0,0,2,0,0,0,0,0,0,2,0.0,0.0,0.0,1.9775853208683216
San Sebastián de Buenavista,0,0,2,0,0,0,0,0,0,2,0.0,0.0,0.0,1.9775853208683216
Puerto Carreño,0,0,2,0,0,0,0,0,0,2,0.0,0.0,0.0,1.9775853208683216
Chita,3,0,0,1,0,1,0,3,3,11,0.0,0.0,0.0,1.9366666666666668
Gramalote,0,0,1,1,0,0,0,2,3,7,0.0,0.0,0.0,1.92
La Playa,3,0,0,0,0,1,2,0,3,9,0.0,0.0,0.0,1.91
Los Palmitos,0,0,0,0,0,0,7,0,1,8,0.0,0.0,0.0,1.89
Pitalito,0,0,0,0,0,4,0,0,0,4,2.0,100.0,0.0,1.8422927350427354
Anzoátegui,2,0,0,1,0,0,0,0,5,8,1.0,0.0,100.0,1.8387301587301585
Santo Domingo,0,0,2,0,1,0,0,0,0,3,1.0,0.0,100.0,1.8060132445862163
Arboletes,0,0,2,0,0,0,0,0,0,2,1.0,0.0,100.0,1.7746423863980412
Villarrica,2,0,0,2,0,0,0,0,0,4,0.0,0.0,0.0,1.69337049062049
Paya,6,0,1,0,0,3,0,0,4,14,1.0,100.0,0.0,1.684533966033966
Cajibío,0,0,0,0,0,3,4,0,0,7,0.0,0.0,0.0,1.5844722222222223
Chinácota,2,0,0,0,0,1,2,1,4,10,0.0,0.0,0.0,1.58
Páez,2,0,0,1,0,0,0,1,3,7,0.0,0.0,0.0,1.53
Patía,3,0,0,0,0,0,3,0,3,9,0.0,0.0,0.0,1.4933333333333334
Mariquita,0,0,0,1,0,0,0,0,3,4,1.0,0.0,33.33,1.4630079365079365
Cañasgordas,3,0,0,2,1,1,2,1,0,10,0.0,0.0,0.0,1.4160098605098603
El Cairo,0,0,0,1,0,0,0,0,1,2,1.0,0.0,100.0,1.3862270736543856
Villanueva,1,0,0,0,0,0,1,5,0,7,3.0,54.55,45.45,1.3733333333333333
La Unión,0,0,0,0,0,5,0,0,0,5,0.0,0.0,0.0,1.3377936507936505
El Tablón,1,0,0,0,0,5,0,0,3,9,0.0,0.0,0.0,1.305325396825397
Pamplona,0,0,0,0,0,4,0,0,0,4,0.0,0.0,0.0,1.2870158730158723
Repelón,0,0,0,0,1,3,0,6,6,16,0.0,0.0,0.0,1.25665873015873
Campohermoso,0,0,0,1,0,0,0,0,1,2,1.0,100.0,0.0,1.2079847097347098
Peque,0,0,0,2,0,0,1,1,0,4,1.0,57.14,28.57,1.1835780423280422
Piojó,0,0,1,0,0,5,0,0,0,6,1.0,0.0,100.0,1.1622045084301662
Pisva,7,0,0,0,2,1,1,1,2,14,0.0,0.0,0.0,1.1555555555555557
Rovira,0,0,0,1,0,0,0,0,2,3,1.0,100.0,0.0,1.1165669608169608
Villa Caro,0,0,0,0,1,0,2,3,0,6,1.0,100.0,0.0,1.0966666666666667
Puerto Triunfo,0,0,1,0,0,2,1,0,1,5,4.0,18.6,81.4,1.0705555555555557
El Águila,0,0,0,0,0,0,2,0,2,4,0.0,0.0,0.0,0.9944444444444446
Suratá,0,0,0,0,0,2,3,0,1,6,1.0,100.0,0.0,0.9773217893217894
San Diego,0,0,1,0,0,1,3,0,1,6,0.0,0.0,0.0,0.9566666666666667
Piedecuesta,0,0,0,0,0,1,1,1,1,4,2.0,50.0,50.0,0.9555555555555556
Angelópolis,0,0,0,0,0,0,1,6,0,7,0.0,0.0,0.0,0.9341269841269841
Victoria,2,0,0,0,3,0,4,0,0,9,2.0,100.0,0.0,0.8466666666666667
Ciudad Bolívar,0,0,0,0,0,2,5,0,0,7,0.0,0.0,0.0,0.8448888888888889
Carepa,0,1,0,0,0,0,1,1,0,3,2.0,0.0,95.65,0.8390952380952382
Pivijay,0,0,0,0,0,0,0,8,0,8,1.0,33.33,66.67,0.8266666666666667
Colombia,10,1,0,0,1,0,0,0,0,12,1.0,100.0,0.0,0.7928879310344827
Socorro,0,0,0,0,0,3,0,0,0,3,0.0,0.0,0.0,0.7581666666666669
Mogotes,0,0,0,0,0,3,1,1,0,5,0.0,0.0,0.0,0.7372658730158729
San Agustín,1,0,0,1,0,0,0,0,0,2,3.0,100.0,0.0,0.696859668109668
Cravo Norte,4,0,1,1,0,0,0,0,0,6,1.0,100.0,0.0,0.6951881451881453
Buesaco,1,0,0,0,0,1,1,0,2,5,0.0,0.0,0.0,0.6822222222222222
Valle de San José,0,0,0,0,0,0,1,1,1,3,0.0,0.0,0.0,0.6728888888888889
Suaita,1,0,0,0,1,2,0,0,1,5,4.0,81.25,18.75,0.6149285714285714
Yopal,4,0,0,0,1,0,0,3,2,10,2.0,60.87,39.13,0.5924841269841269
Acevedo,7,0,0,0,0,2,0,0,0,9,1.0,100.0,0.0,0.5612353063603059
Floridablanca,0,0,0,0,0,2,0,0,0,2,1.0,100.0,0.0,0.5612353063603059
Ibagué,3,0,0,0,2,0,0,0,5,10,1.0,49.35,44.16,0.5442857142857143
Norcasia,1,0,0,0,5,0,1,2,0,9,6.0,5.88,94.12,0.5263492063492063
El Dovio,0,0,0,1,0,0,1,0,0,2,1.0,0.0,0.0,0.4793333333333334
Tona,1,0,1,0,0,2,0,0,0,4,5.0,84.21,15.79,0.41520634920634913
Sincelejo,0,0,0,2,0,0,0,0,0,2,1.0,60.0,40.0,0.39086375661375666
Pedraza,0,0,0,0,0,0,4,0,0,4,1.0,0.0,0.0,0.37
Granada,0,0,0,0,0,0,1,4,0,5,3.0,0.0,80.0,0.36523809523809525
Nocaima,0,0,0,0,0,0,0,0,0,0,1.0,100.0,0.0,0.35892599312452245
Facatativá,0,0,0,0,0,0,0,0,0,0,1.0,100.0,0.0,0.35892599312452245
Ansermanuevo,0,0,0,0,0,0,0,0,0,0,1.0,100.0,0.0,0.35892599312452245
Inzá,1,0,0,0,0,0,0,0,0,1,1.0,100.0,0.0,0.35892599312452245
Subachoque,0,0,0,0,0,0,0,0,0,0,1.0,100.0,0.0,0.35892599312452245
Caicedonia,0,0,0,0,0,0,0,0,0,0,1.0,100.0,0.0,0.35892599312452245
Puebloviejo,0,0,0,0,0,0,0,0,0,0,1.0,100.0,0.0,0.35892599312452245
Marulanda,0,0,0,0,0,0,0,0,0,0,1.0,100.0,0.0,0.35892599312452245
Providencia y Santa Catalina - Costa,0,0,0,0,0,0,0,0,0,0,1.0,100.0,0.0,0.35892599312452245
Marmato,0,0,0,0,0,0,0,0,0,0,1.0,100.0,0.0,0.35892599312452245
Guayabetal,1,0,0,0,0,0,0,0,0,1,1.0,100.0,0.0,0.35892599312452245
Restrepo,3,0,0,0,0,0,0,0,0,3,1.0,100.0,0.0,0.35892599312452245
Consacá,5,0,0,0,0,0,0,0,0,5,1.0,100.0,0.0,0.35892599312452245
Liborina,1,0,0,0,0,1,0,0,0,2,1.0,100.0,0.0,0.3533812600797894
La Cumbre,0,0,0,0,0,0,1,0,0,1,1.0,100.0,0.0,0.31766954124307045
Concordia,0,0,0,0,0,1,1,0,0,2,1.0,100.0,0.0,0.3158513594248887
Tubará,5,0,1,0,0,2,0,0,0,8,0.0,0.0,0.0,0.3132222222222223
Duitama,0,0,0,0,0,0,0,6,0,6,1.0,100.0,0.0,0.3024404761904762
La Cruz,0,0,0,0,0,2,0,0,0,2,0.0,0.0,0.0,0.2937222222222223
Neira,0,0,0,0,0,0,0,0,3,3,1.0,100.0,0.0,0.28911752136752145
La Vega,1,0,1,0,0,0,1,0,0,3,3.0,66.67,33.33,0.28
Zona Bananera,0,0,1,0,0,0,0,2,1,4,1.0,90.0,10.0,0.25198412698412703
Nunchía,3,0,0,0,0,1,0,0,1,5,1.0,100.0,0.0,0.2471241283226578
San Luis de Gaceno,3,0,1,0,0,0,0,0,2,6,0.0,0.0,0.0,0.24111111111111114
Bucaramanga,0,1,0,0,0,0,0,2,0,3,5.0,16.67,50.0,0.23944444444444443
Maní,3,0,0,0,0,0,0,4,6,13,1.0,0.0,0.0,0.2353968253968254
Pajarito,0,0,0,0,0,0,0,0,3,3,2.0,50.0,50.0,0.23087301587301587
Beltrán,3,0,0,0,0,0,0,6,0,9,0.0,0.0,0.0,0.22666666666666666
Santa Bárbara de Pinto,0,0,0,0,0,0,0,6,0,6,0.0,0.0,0.0,0.22666666666666666
Santa María,6,0,0,0,0,0,0,0,3,9,0.0,0.0,0.0,0.2211111111111111
Cabrera,0,0,0,0,0,0,0,0,3,3,0.0,0.0,0.0,0.2211111111111111
El Guacamayo,0,0,0,0,0,2,0,1,1,4,0.0,0.0,0.0,0.2182976190476191
Onzaga,1,0,0,0,0,2,0,3,1,7,0.0,0.0,0.0,0.215186507936508
San Joaquín,0,0,0,0,0,2,3,0,0,5,0.0,0.0,0.0,0.20291666666666666
Clemencia,0,0,0,0,2,0,0,0,1,3,0.0,0.0,0.0,0.17
Saboyá,0,0,1,0,0,0,0,0,0,1,1.0,0.0,100.0,0.16441737701906192
San Andrés,0,0,0,0,0,1,1,1,0,3,1.0,0.0,100.0,0.16163549056276408
Guasca,0,0,0,0,0,0,0,0,0,0,2.0,100.0,0.0,0.16000616050616057
Turbana,0,0,0,0,0,0,1,1,0,2,2.0,0.0,100.0,0.15757142857142858
González,0,0,0,1,0,2,0,0,0,3,0.0,0.0,0.0,0.15708333333333332
Quebradanegra,0,0,0,0,1,0,0,0,0,1,1.0,0.0,100.0,0.15232091515605894
Buenavista,0,0,0,0,1,0,0,0,0,1,1.0,0.0,100.0,0.15232091515605894
La Peña,0,0,0,0,4,0,0,0,0,4,1.0,0.0,100.0,0.14565424848939232
Maripí,0,0,0,0,1,0,1,0,0,2,0.0,0.0,0.0,0.14333333333333334
Amagá,0,0,0,1,0,0,2,0,0,3,1.0,0.0,100.0,0.13435085470085467
Uramita,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.13343650276259944
Giraldo,1,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.13343650276259944
Villeta,0,0,0,0,2,0,0,0,0,2,1.0,0.0,100.0,0.13232091515605898
Andes,0,0,0,0,0,0,3,0,0,3,2.0,50.0,50.0,0.13
Betania,0,0,0,0,0,0,2,0,0,2,1.0,100.0,0.0,0.1288456820956821
Abejorral,0,0,0,0,0,0,3,0,0,3,1.0,100.0,0.0,0.12549098124098126
Pesca,0,0,0,0,0,0,0,0,1,1,1.0,0.0,100.0,0.11949566818517729
Cali,2,0,0,0,0,0,1,0,0,3,7.0,39.87,37.97,0.11666666666666667
Bello,1,0,0,0,0,0,1,0,0,2,4.0,35.29,47.06,0.11666666666666667
Zarzal,0,4,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.11606313131313131
Barranca de Upía,0,0,1,0,0,0,0,0,0,1,1.0,60.0,20.0,0.11333333333333333
Chima,0,0,0,0,0,0,0,2,1,3,1.0,0.0,100.0,0.10943780256393848
Bugalagrande,0,11,0,0,0,0,0,0,0,11,1.0,0.0,100.0,0.10666666666666667
La Llanada,5,0,0,0,1,1,2,0,0,9,0.0,0.0,0.0,0.10333333333333333
Chitagá,4,0,0,0,0,2,2,0,0,8,0.0,0.0,0.0,0.09069444444444447
Santa Rosa de Cabal,0,0,0,0,1,0,0,0,0,1,4.0,57.97,15.94,0.09
Guatavita,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Guateque,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Bernardo del Viento,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Bernardo del Viento - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Melgar,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Mercaderes,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Miranda,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Cuítiva,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Cácota,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Cáqueza,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Estanislao,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Saldaña,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Samacá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Sampués,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
San Andrés - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tuchín,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Sabanalarga,5,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0798799450155233
Silvia,5,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0798799450155233
Prado,4,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0798799450155233
Medina,4,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0798799450155233
Toca,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tocancipá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
La Pintada,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Cerrito,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Cerro de San Antonio,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Gigante,3,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0798799450155233
Gachetá,3,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0798799450155233
Hobo,4,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0798799450155233
Socotá,3,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0798799450155233
Sitionuevo,3,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0798799450155233
Jerusalén,3,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0798799450155233
Tibasosa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tibirita,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Timaná,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Timbiquí - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Timbío,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tinjacá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tópaga,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Ubaque,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tolú - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Toro,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Totoró,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tubará - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tipacoque,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
La Florida,3,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0798799450155233
San Jerónimo,6,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0798799450155233
Túquerres,8,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0798799450155233
Pulí,6,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0798799450155233
Ubalá,7,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0798799450155233
Carmen de Apicalá,2,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0798799450155233
Tausa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Chinchiná,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Turbo - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Teruel,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tesalia,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tibacuy,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tibaná,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Linares,2,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0798799450155233
Toribío,2,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0798799450155233
Sandoná,2,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0798799450155233
Guayatá,2,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0798799450155233
Anolaima,2,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0798799450155233
Gama,3,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0798799450155233
Apía,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
La Tola - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
La Uvita,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
La Sierra,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Busbanzá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Cachipay,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Caimito,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Hato Nuevo,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Heliconia,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tarso,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tasco,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Suesca,2,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0798799450155233
Susa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Susacón,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Chipaque,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Chipatá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Chiquinquirá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Tenza,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Campoalegre,11,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0798799450155233
Baraya,11,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0798799450155233
Tangua,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Anserma,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Apulo,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Guamal,2,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0798799450155233
La Virginia,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Labateca,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Lenguazaque,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Lorica,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Los Córdobas - Costa,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Los Santos,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Lérida,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Sora,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Soracá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Versalles,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Cabuyaro,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Titiribí,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Tello,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Icononzo,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Cumaral,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
San Sebastián,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Concepción,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Yacuanquer,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Macanal,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Sotará,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Taminango,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0798799450155233
Chocontá,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Chía,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Chíquiza,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Cicuco,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
Sogamoso,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0798799450155233
