municipio,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total,riqueza_palmas,bosque_pct,agro_pct,pred_alertas_2026
Amalfi,9,14,23,78,24,98,161,60,104,571,6.0,53.85,46.15,153.83333333333334
Tame,16,3,13,22,15,10,12,25,164,280,1.0,100.0,0.0,152.3
Puerto Lleras,53,35,8,1,6,0,6,122,184,415,0.0,0.0,0.0,150.57666666666665
Anorí,52,50,52,99,28,113,70,62,79,605,6.0,71.43,28.57,148.49
ETI Yaigojé Apaporis,0,0,14,224,53,30,125,80,53,579,1.0,100.0,0.0,146.74333333333334
Ipiales,21,11,33,5,48,171,41,33,30,393,0.0,0.0,0.0,142.81333333333333
Puerto Gaitán,43,6,10,14,1,39,178,258,93,642,2.0,100.0,0.0,136.01333333333332
Támara,11,2,3,0,6,8,14,0,90,134,1.0,50.0,50.0,133.05
San Jacinto,1,61,116,29,5,61,104,32,75,484,1.0,60.0,20.0,132.4
San Pablo,24,53,57,132,43,70,96,95,77,647,2.0,66.67,33.33,130.25666666666666
Valledupar,98,129,52,47,10,73,84,89,48,630,1.0,100.0,0.0,128.45
Santa Bárbara,9,4,12,25,26,115,41,36,56,324,4.0,62.5,0.0,124.7
Frontino,116,91,10,2,2,45,37,26,68,397,3.0,42.86,57.14,122.66333333333333
Simacota,7,2,2,2,5,78,106,75,64,341,1.0,50.0,50.0,122.27
Unguía,51,69,87,61,101,81,143,113,90,796,3.0,75.0,25.0,121.23666666666666
Puerto Parra,11,0,3,8,4,21,59,32,51,189,3.0,16.67,75.0,120.25333333333333
ETI del Río Pirá Para,0,0,7,158,22,51,120,84,79,521,0.0,0.0,0.0,119.74
Puerto Libertador,45,38,8,0,30,101,27,16,94,359,2.0,0.0,100.0,119.26666666666667
San Vicente de Chucurí,4,4,14,4,9,103,139,160,90,527,6.0,85.71,14.29,117.99333333333334
Teorama,26,81,102,87,35,77,104,66,126,704,0.0,0.0,0.0,117.95666666666666
Bajo Baudó,94,244,49,39,21,16,152,26,43,684,1.0,100.0,0.0,115.82
Tumaco,209,42,22,20,13,82,206,99,59,752,3.0,11.11,66.67,115.42
Sucre,0,0,7,2,24,50,76,41,147,347,0.0,0.0,0.0,110.67
Acandí,34,51,45,29,37,28,49,114,100,487,9.0,83.33,16.67,107.19
El Zulia,2,5,40,15,15,25,67,19,139,327,0.0,0.0,0.0,107.06666666666666
Puerto Concordia,31,28,19,25,12,8,21,92,124,360,0.0,0.0,0.0,99.86333333333333
Yalí,1,0,6,0,9,8,71,11,51,157,1.0,100.0,0.0,94.86
Cubará,3,0,4,0,1,7,18,38,52,123,1.0,100.0,0.0,92.94666666666667
Puerto Nariño,0,0,3,90,26,72,61,29,90,371,0.0,0.0,0.0,91.46333333333334
Ciénaga,45,47,85,61,11,17,57,7,42,372,1.0,90.91,0.0,88.79666666666667
Bagadó,1,78,37,30,6,27,63,93,49,384,0.0,0.0,0.0,86.63333333333334
Fundación,4,23,39,20,2,3,128,9,73,301,0.0,0.0,0.0,81.09
Belén de Los Andaquíes,34,15,123,17,27,56,42,57,55,426,1.0,0.0,100.0,81.07666666666667
Argelia,26,20,13,15,1,26,36,0,14,151,2.0,50.0,50.0,79.85333333333334
Cúcuta,10,8,54,60,37,34,60,37,48,348,0.0,0.0,0.0,79.72666666666667
La Belleza,2,0,11,18,37,49,56,42,48,263,0.0,0.0,0.0,76.46
San Francisco,2,0,6,45,25,50,47,7,45,227,10.0,54.05,45.95,76.24333333333334
El Tambo,121,38,34,114,3,43,41,5,23,422,2.0,100.0,0.0,76.04
Inírida,29,0,6,31,23,55,98,169,69,480,0.0,0.0,0.0,74.4
Mutatá,76,138,31,9,2,24,18,1,13,312,2.0,25.0,75.0,72.37
Florencia,75,4,29,1,38,109,211,106,46,619,2.0,100.0,0.0,71.37666666666667
Aracataca,10,68,81,45,5,20,86,13,64,392,0.0,0.0,0.0,69.99
Magüí,45,6,11,26,21,61,89,47,59,365,0.0,0.0,0.0,69.72333333333333
San Miguel,42,3,103,115,34,63,54,2,21,437,0.0,0.0,0.0,69.48
Valparaíso,15,1,21,15,9,54,112,35,74,336,0.0,0.0,0.0,68.60333333333334
Nechí,20,8,4,21,5,64,14,13,57,206,2.0,0.0,0.0,68.16
Puerto Rondón,44,14,17,20,1,1,6,1,62,166,0.0,0.0,0.0,66.63666666666667
Olaya Herrera,35,0,5,19,13,27,22,1,2,124,0.0,0.0,0.0,63.34
Medio Atrato,51,133,9,15,3,25,14,18,45,313,0.0,0.0,0.0,62.986666666666665
La Esperanza,1,2,2,0,7,55,65,50,60,242,0.0,0.0,0.0,59.67666666666667
El Guamo,0,2,4,5,8,14,45,19,67,164,1.0,0.0,0.0,59.50333333333333
Otanche,2,0,38,32,11,13,36,2,45,179,0.0,0.0,0.0,59.053333333333335
ETI de La Chorrera,0,0,49,77,2,27,86,12,37,290,0.0,0.0,0.0,58.72
Vigía del Fuerte,50,146,0,3,1,23,9,3,5,240,1.0,100.0,0.0,58.60666666666667
Sin decisión Pol Adm Inírida,1,0,1,23,11,46,123,47,53,305,0.0,0.0,0.0,57.766666666666666
Hato Corozal,15,3,5,0,0,1,5,20,41,90,2.0,63.16,36.84,57.75666666666667
San Carlos,6,0,7,9,21,31,32,14,40,160,8.0,81.82,18.18,57.73
Juradó,11,134,31,50,22,69,128,86,10,541,3.0,100.0,0.0,57.233333333333334
Puerto Wilches,5,0,0,0,0,8,33,30,65,141,2.0,5.88,0.0,51.53666666666667
Ovejas,1,14,2,8,3,29,104,2,20,183,0.0,0.0,0.0,50.78333333333333
Cumbitara,9,4,20,22,1,13,4,0,3,76,0.0,0.0,0.0,49.78333333333333
ETI Mirití Paraná,2,0,0,34,12,14,47,15,50,174,0.0,0.0,0.0,49.63666666666666
Simití,5,0,30,52,15,16,42,16,12,188,0.0,0.0,0.0,49.04666666666667
Puerto Nare,2,0,2,5,3,15,10,13,19,69,6.0,33.33,66.67,48.79
Dibulla,101,102,109,65,25,5,170,11,35,623,2.0,50.0,50.0,48.56333333333333
ETI PANI,0,0,1,14,4,3,28,0,20,70,0.0,0.0,0.0,48.06
Sonsón,4,0,0,38,38,18,13,18,22,151,7.0,71.43,21.43,44.60666666666667
Ríohacha,21,65,96,51,5,33,179,9,13,472,0.0,0.0,0.0,44.343333333333334
ETI del Papurí,0,0,28,110,15,31,56,17,7,264,0.0,0.0,0.0,43.71
María La Baja,0,17,20,17,8,0,24,3,3,92,1.0,0.0,100.0,42.06
San José del Palmar,3,47,13,8,19,47,34,38,25,234,1.0,100.0,0.0,41.70666666666666
ETI Bajo Río Caquetá,0,0,7,68,3,10,60,30,27,205,1.0,75.0,25.0,41.28666666666667
Medio Baudó,6,196,11,32,12,6,90,21,9,383,0.0,0.0,0.0,41.266666666666666
Taraira,0,0,0,54,10,15,39,29,13,160,0.0,0.0,0.0,41.196666666666665
ETI del Medio Guainía,0,0,1,1,2,44,177,89,38,352,0.0,0.0,0.0,40.53333333333333
Chigorodó,5,192,3,1,0,6,2,2,17,228,2.0,0.0,100.0,40.486666666666665
Barbacoas,95,34,23,32,10,101,124,26,24,469,2.0,100.0,0.0,39.446666666666665
ETI del Vaupés,0,0,2,67,16,37,29,17,13,181,0.0,0.0,0.0,39.406666666666666
La Paz,6,12,19,9,3,46,23,18,15,151,1.0,100.0,0.0,39.29333333333334
Samaná,1,0,4,6,32,2,4,2,0,51,2.0,100.0,0.0,38.99666666666667
Toledo,7,2,1,0,15,29,7,39,20,120,4.0,80.0,20.0,38.516666666666666
El Rosario,11,9,23,23,2,31,12,4,0,115,0.0,0.0,0.0,38.336666666666666
Rio Quito,117,116,10,3,3,27,32,21,20,349,1.0,100.0,0.0,37.916666666666664
Murindó,50,117,7,3,1,63,15,1,0,257,0.0,0.0,0.0,37.63333333333333
Ríonegro,1,3,6,3,5,68,93,36,34,249,4.0,28.57,57.14,37.526666666666664
Pueblo Bello,1,2,6,12,0,3,16,16,44,100,0.0,0.0,0.0,37.25
San Onofre,0,32,30,12,14,18,82,16,29,233,2.0,1.15,98.85,37.156666666666666
Vegachí,14,0,34,4,9,38,88,50,39,276,0.0,0.0,0.0,37.0
Yolombó,4,0,75,16,1,23,76,16,30,241,0.0,0.0,0.0,36.86666666666667
San Luis,3,0,7,21,26,38,15,18,27,155,8.0,64.52,32.26,36.403333333333336
El Litoral del San Juán,49,14,8,6,7,15,28,18,9,154,1.0,100.0,0.0,35.99333333333333
ETI Arica,11,1,1,36,28,57,47,11,11,203,0.0,0.0,0.0,35.736666666666665
Norosí,6,3,40,9,11,40,55,65,15,244,1.0,0.0,0.0,35.67666666666667
San Juan Nepomuceno,0,78,87,49,19,21,80,33,27,394,2.0,100.0,0.0,35.42333333333333
Sipí,6,1,8,6,5,62,34,20,11,153,1.0,100.0,0.0,35.10666666666667
Agustín Codazzi,10,12,26,14,0,1,24,12,9,108,3.0,60.0,20.0,33.97666666666667
Landázuri,4,0,2,5,4,39,37,12,20,123,1.0,0.0,100.0,33.74333333333333
Barrancabermeja,9,0,2,1,3,81,45,37,33,211,4.0,51.35,45.95,33.376666666666665
Puerto Boyacá,0,0,5,5,5,3,8,15,21,62,5.0,10.53,89.47,32.79333333333334
Lebrija,3,2,7,2,1,28,66,22,27,158,2.0,50.0,50.0,32.68333333333333
Dabeiba,87,135,48,19,5,62,38,16,12,422,0.0,0.0,0.0,32.11666666666667
San Jacinto del Cauca,9,4,2,6,8,13,11,5,16,74,1.0,0.0,100.0,32.06666666666667
Puerto Berrío,9,0,4,36,5,10,91,10,26,191,0.0,0.0,0.0,30.966666666666665
ETI del Bajo Guainía,0,0,4,15,18,35,129,43,33,277,0.0,0.0,0.0,30.76
Ricaurte,13,24,6,2,2,32,136,31,17,263,1.0,100.0,0.0,30.473333333333333
Policarpa,13,9,21,9,3,14,7,0,1,77,0.0,0.0,0.0,30.413333333333334
Chalán,1,5,4,3,4,1,29,4,9,60,1.0,100.0,0.0,30.373333333333335
Planadas,6,0,0,6,0,0,0,0,4,16,1.0,100.0,0.0,30.267944444444446
El Tarra,35,46,101,67,28,14,41,27,33,392,0.0,0.0,0.0,29.37
El Peñón,1,0,12,3,9,26,40,31,33,155,1.0,100.0,0.0,28.593333333333334
Apartadó,1,0,6,4,0,11,9,3,0,34,1.0,0.0,100.0,28.47
San José del Fragua,28,59,75,46,34,77,42,34,12,407,0.0,0.0,0.0,28.14666666666667
Sin decisión Pol Adm Mitú,0,0,1,15,5,16,44,48,25,154,0.0,0.0,0.0,27.743333333333332
Bahía Solano,38,58,18,12,2,7,6,18,4,163,3.0,66.67,0.0,27.17
Cáchira,3,1,0,0,6,33,51,17,34,145,1.0,0.0,100.0,26.82
Girón,0,0,2,0,5,15,27,23,20,92,4.0,20.0,40.0,26.813333333333333
Medio San Juan,91,6,8,12,7,49,41,13,11,238,0.0,0.0,0.0,26.616666666666667
Dagua,13,20,1,0,1,19,18,7,15,94,2.0,33.33,33.33,26.013333333333332
Urumita,0,1,1,8,0,0,8,0,1,19,0.0,0.0,0.0,25.824166666666667
Tiquisio,2,0,36,25,18,28,139,37,6,291,1.0,0.0,100.0,25.576666666666668
San Rafael,2,0,5,3,10,16,6,4,13,59,0.0,0.0,0.0,24.976666666666667
San Martín,23,4,32,2,2,18,14,1,5,101,1.0,0.0,100.0,24.576666666666668
Tadó,3,2,3,0,8,15,13,30,16,90,0.0,0.0,0.0,24.543333333333333
Ríoviejo,1,2,27,15,12,45,64,26,18,210,0.0,0.0,0.0,24.44333333333333
Chaparral,1,0,3,0,0,1,0,0,39,44,1.0,100.0,0.0,24.31223484848485
Solita,25,5,13,26,11,33,58,23,19,213,0.0,0.0,0.0,24.28
Istmina,260,29,9,21,12,66,122,31,17,567,0.0,0.0,0.0,24.18
Santa Helena del Opón,0,0,0,0,2,82,49,37,31,201,0.0,0.0,0.0,24.17
Tarazá,82,61,18,7,7,88,30,25,9,327,1.0,0.0,100.0,23.993333333333332
El Copey,0,1,19,10,2,5,11,15,16,79,0.0,0.0,0.0,23.71
Ituango,24,54,21,18,9,67,26,13,8,240,0.0,0.0,0.0,23.53
Carurú,0,0,4,25,13,61,74,42,11,230,0.0,0.0,0.0,23.063333333333333
Santiago,0,0,0,1,1,11,11,16,18,58,3.0,80.0,20.0,22.793333333333333
Condoto,12,8,5,1,3,51,35,22,27,164,0.0,0.0,0.0,22.576666666666668
Colosó,3,8,7,2,3,7,28,5,9,72,1.0,100.0,0.0,22.373333333333335
Tuluá,2,5,0,0,0,0,0,0,26,33,4.0,28.57,71.43,22.183333333333334
Manaure Balcón del Cesar,0,1,1,3,0,0,0,3,0,8,1.0,100.0,0.0,22.141111111111112
