departamento,municipio,riqueza_especies,especies_CR,especies_EN,especies_VU,indice_amenaza,indice_biodiversidad,pct_bosque,pct_palma,pct_agro,pct_otras,anp,resguardo,dist_glad_media,glad_presion
Cesar,Agustín Codazzi,3,0,3,0,6,18,0.03488372093023256,0.9534883720930233,0.011627906976744186,2.0816681711721685e-17,0,0,23440.0476744186,4.266020929991571e-05
Cesar,Becerril,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,13644.1,7.328638119178312e-05
Cesar,Chimichagua,2,0,2,0,4,8,0.47619047619047616,0.0,0.47619047619047616,0.04761904761904767,0,0,46486.004761904755,2.151138807763071e-05
Cesar,Curumaní,2,0,2,0,4,8,0.08333333333333333,0.0,0.9166666666666666,0.0,0,0,19597.741666666665,5.1023683918482864e-05
Cesar,Gamarra,2,0,2,0,4,8,0.0,0.0,0.0,1.0,0,0,36715.9,2.7235414754513587e-05
Cesar,La Jagua de Ibirico,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,15631.7,6.396847633486217e-05
Cesar,La Paz,1,0,1,0,2,2,1.0,0.0,0.0,0.0,0,0,17974.5,5.563127590331284e-05
Cesar,Manaure Balcón del Cesar,1,0,1,0,2,2,1.0,0.0,0.0,0.0,0,0,15506.5,6.448492664839594e-05
Cesar,Rio de Oro,1,0,1,0,2,2,0.8,0.0,0.2,-5.551115123125783e-17,0,0,20321.359999999997,4.9206883452512415e-05
Cesar,San Alberto,1,0,0,1,1,1,0.5,0.0,0.5,0.0,0,0,24909.9,4.0143069901127616e-05
Cesar,San Martín,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,20033.7,4.991340025056527e-05
Chocó,Acandí,9,0,2,7,11,99,0.8571428571428571,0.0,0.07142857142857142,0.07142857142857148,1,0,2398.854761904762,0.00041669188313975345
Chocó,Bahía Solano,3,0,1,2,4,12,0.6666666666666666,0.0,0.0,0.33333333333333337,0,0,5005.566666666667,0.00019973767784975732
Chocó,Bajo Baudó,1,0,0,1,1,1,1.0,0.0,0.0,0.0,0,0,5298.4,0.00018870060761595652
Chocó,Carmen del Darién,1,1,0,0,3,3,0.0,0.0,0.0,1.0,0,0,4460.8,0.00022412479268456675
Chocó,El Carmen,2,0,1,1,3,6,0.1,0.0,0.9,0.0,0,0,2132.11,0.00046879907740341565
Chocó,El Litoral del San Juán,1,0,0,1,1,1,1.0,0.0,0.0,0.0,0,1,2552.7,0.0003915886752555116
Chocó,Juradó,3,0,2,1,5,15,1.0,0.0,0.0,0.0,0,0,3941.75,0.0002536300805275506
Chocó,Rio Quito,1,0,0,1,1,1,1.0,0.0,0.0,0.0,0,0,4304.8,0.00023224487900041802
Chocó,Ríosucio,4,1,2,1,8,32,0.34285714285714286,0.0,0.6285714285714286,0.02857142857142858,1,0,5048.722857142858,0.00019803066985854385
Chocó,San José del Palmar,1,0,0,1,1,1,1.0,0.0,0.0,0.0,0,0,919.8,0.0010860121633362294
Chocó,Sipí,1,0,1,0,2,2,1.0,0.0,0.0,0.0,0,0,3866.6,0.0002585582790360947
Chocó,Unguía,3,1,2,0,7,21,0.02702702702702703,0.0,0.19932432432432431,0.7736486486486487,1,1,1634.7817567567567,0.0006113284953016513
Chocó,Unión Panamericana,1,0,1,0,2,2,0.0,0.0,0.0,1.0,0,0,2409.2,0.0004149033275246868
Chocó,Valledupar,1,0,1,0,2,2,1.0,0.0,0.0,0.0,0,0,4465.34,0.00022389697156956255
Chocó - Costa,Juradó - Costa,1,0,1,0,2,2,0.0,0.0,0.0,1.0,0,0,2344.7,0.0004263119751033807
Cundinamarca,Bojacá,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,21511.4,4.6484818058422114e-05
Cundinamarca,Caparrapí,1,0,1,0,2,2,0.25,0.0,0.75,0.0,0,0,48140.425,2.077213127779246e-05
Cundinamarca,Chaguaní,3,0,2,1,5,15,1.0,0.0,0.0,0.0,0,0,31147.33478260869,3.210444497207402e-05
Cundinamarca,Cota,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,20512.4,4.874862285140445e-05
Cundinamarca,El Rosal,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,4940.700000000001,0.00020235951190885725
Cundinamarca,Facatativá,1,0,0,1,1,1,1.0,0.0,0.0,0.0,0,0,7493.549999999999,0.00013343029267934701
Cundinamarca,Funza,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,23264.7,4.2981728467228577e-05
Cundinamarca,Fusagasugá,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,28818.9,3.469824669759437e-05
Cundinamarca,Gachalá,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,7580.1,0.00013190697919826936
Cundinamarca,Granada,1,0,1,0,2,2,0.0,0.0,0.0,1.0,0,0,34715.3,2.880491296595547e-05
Cundinamarca,Guaduas,3,0,1,2,4,12,0.043478260869565216,0.0,0.9565217391304348,0.0,1,0,43145.98260869564,2.3176591722974035e-05
Cundinamarca,Guasca,2,0,1,1,3,6,1.0,0.0,0.0,0.0,1,0,15710.566666666666,6.364737656121711e-05
Cundinamarca,Guayabal de Síquima,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,21661.449999999997,4.616283015079089e-05
Cundinamarca,Guayabetal,1,0,0,1,1,1,1.0,0.0,0.0,0.0,0,0,4068.5,0.0002457304337142155
Cundinamarca,Junín,2,0,1,1,3,6,0.9285714285714286,0.0,0.0,0.0714285714285714,0,0,15955.285714285712,6.267122674449838e-05
Cundinamarca,La Calera,2,0,1,1,3,6,0.7777777777777778,0.0,0.1111111111111111,0.1111111111111111,0,0,27634.877777777776,3.6184846670732775e-05
Cundinamarca,La Peña,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,34143.7,2.9287122159515243e-05
Cundinamarca,La Vega,3,0,2,1,5,15,0.6666666666666666,0.0,0.3333333333333333,5.551115123125783e-17,0,0,8464.599999999999,0.00011812511812511815
Cundinamarca,Madrid,1,0,1,0,2,2,0.0,0.0,0.5,0.5,0,0,18837.15,5.3083768841420196e-05
Cundinamarca,Mosquera,2,1,1,0,5,10,0.0,0.0,1.0,0.0,0,0,24042.7,4.159093650311724e-05
Cundinamarca,Nocaima,1,0,0,1,1,1,1.0,0.0,0.0,0.0,0,0,22275.9,4.4889549264035835e-05
Cundinamarca,Pacho,2,0,2,0,4,8,0.125,0.0,0.875,0.0,0,0,31040.3875,3.22150548199561e-05
Cundinamarca,Paratebueno,1,1,0,0,3,3,0.0,0.0,0.0,1.0,0,0,27368.5,3.653702113666673e-05
Cundinamarca,Pasca,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,27099.4,3.689982435683606e-05
Cundinamarca,Puerto Salgar,3,0,3,0,6,18,0.05263157894736842,0.0,0.9473684210526315,1.1102230246251565e-16,0,0,38932.02105263158,2.5685137524985556e-05
Cundinamarca,Quebradanegra,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,33170.4,3.0146451461198502e-05
Cundinamarca,San Antonio del Tequendama,3,0,3,0,6,18,0.5,0.0,0.5,0.0,0,0,30356.9,3.2940354899383684e-05
Cundinamarca,San Cayetano,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,43399.600000000006,2.3041156113049125e-05
Cundinamarca,San Francisco,2,0,2,0,4,8,0.019417475728155338,0.0,0.9805825242718447,0.0,0,0,9575.92718446602,0.00010441762589800426
Cundinamarca,Sasaima,3,0,2,1,5,15,0.0,0.0,0.8571428571428571,0.1428571428571429,0,0,15668.92380952381,6.38165196050426e-05
Cundinamarca,Silvania,1,0,0,1,1,1,0.0,0.0,1.0,0.0,0,0,28463.8,3.513110929990725e-05
Cundinamarca,Soacha,1,0,0,1,1,1,0.0,0.0,1.0,0.0,0,0,29877.7,3.346865827495841e-05
Cundinamarca,Subachoque,1,0,1,0,2,2,1.0,0.0,0.0,0.0,0,0,13517.2,7.39743456969123e-05
Cundinamarca,Supatá,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,17183.6,5.8191636697973775e-05
Cundinamarca,Tena,2,0,2,0,4,8,0.5,0.0,0.5,0.0,0,0,26325.9,3.7983963170749306e-05
Cundinamarca,Tenjo,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,18187.6,5.497949264924184e-05
Cundinamarca,Tocaima,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,50939.3,1.9630822747412164e-05
Cundinamarca,Vergara,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,21096.4,4.739920558931432e-05
Cundinamarca,Vianí,2,0,2,0,4,8,0.0,0.0,1.0,0.0,0,0,29376.5125,3.403964171575112e-05
Cundinamarca,Villeta,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,33214.7,3.0106244938387572e-05
Córdoba,Ayapel,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,33728.8,2.964737413207312e-05
Córdoba,Buenavista,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,33243.0,3.0080616051016725e-05
Córdoba,Canalete,1,0,0,1,1,1,0.5,0.0,0.5,0.0,0,0,47957.6,2.0851317594758815e-05
Córdoba,Cereté,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,46171.61111111111,2.1657861141826504e-05
Córdoba,Chima,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,21532.56,4.6439139649923184e-05
Córdoba,Chinú,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,46928.833333333336,2.1308407232073414e-05
Córdoba,Ciénaga de Oro,1,0,1,0,2,2,0.5,0.0,0.5,0.0,0,0,58852.15,1.699144395839475e-05
Córdoba,Los Córdobas,1,0,0,1,1,1,0.5,0.0,0.5,0.0,0,0,53087.9,1.8836329251500783e-05
Córdoba,Momil,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,19097.57,5.235994108459429e-05
Córdoba,Montelíbano,3,0,2,1,5,15,0.56,0.0,0.44,-5.551115123125783e-17,0,0,12512.752,7.991208392175265e-05
Córdoba,Montería,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,55853.22549019606,1.790374839546432e-05
Córdoba,Pueblo Nuevo,2,0,2,0,4,8,0.25,0.0,0.75,0.0,0,0,69391.425,1.4410794838197397e-05
Córdoba,Puerto Libertador,2,0,2,0,4,8,0.0,0.0,1.0,0.0,0,0,13101.3,7.632247773291713e-05
Córdoba,Sahagún,3,0,2,1,5,15,0.0,0.0,1.0,0.0,0,0,62034.49166666667,1.6119804536623455e-05
Córdoba,San Carlos,1,0,0,1,1,1,0.0,0.0,1.0,0.0,0,0,72515.9,1.3789888977603842e-05
Córdoba,San José de Uré,2,0,2,0,4,8,0.47368421052631576,0.0,0.5263157894736842,1.1102230246251565e-16,0,0,6794.726315789474,0.00014715130561932112
Córdoba,San Pelayo,2,0,1,1,3,6,0.08333333333333333,0.0,0.9166666666666666,0.0,0,0,41075.07499999999,2.4345071918385586e-05
Córdoba,Tierralta,3,0,1,2,4,12,0.631578947368421,0.0,0.3684210526315789,5.551115123125783e-17,1,1,5968.773684210526,0.00016751053773527517
Guaviare,San José del Guaviare,2,0,1,1,3,6,0.8333333333333334,0.0,0.0,0.16666666666666663,1,0,4391.016666666666,0.00022768583907923848
Huila,Acevedo,1,0,1,0,2,2,1.0,0.0,0.0,0.0,0,0,1849.7,0.0005403360890473875
Huila,Colombia,1,0,1,0,2,2,1.0,0.0,0.0,0.0,0,0,12215.0,8.185985592665357e-05
Huila,Garzón,2,0,1,1,3,6,0.6666666666666666,0.0,0.3333333333333333,5.551115123125783e-17,0,0,17623.833333333332,5.6738125183216865e-05
Huila,Guadalupe,1,0,1,0,2,2,0.0,0.0,1.0,0.0,0,0,1363.3,0.0007329766180458843
Huila,Isnos,2,0,0,2,2,4,1.0,0.0,0.0,0.0,1,0,5897.325,0.00016953965744512212
Huila,La Plata,2,0,2,0,4,8,0.5555555555555556,0.0,0.4444444444444444,0.0,0,1,2231.8888888888887,0.00044785031847133764
