municipio,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total,riqueza_palmas,bosque_pct,agro_pct
Cartagena del Chairá,910,1134,1082,838,802,807,1034,4128,6294,17029,0.0,0.0,0.0
La Macarena,325,1472,1241,991,989,1120,484,3947,3319,13888,0.0,0.0,0.0
Mapiripán,216,468,617,861,892,1543,2083,3135,3466,13281,0.0,0.0,0.0
San José del Guaviare,909,1721,1675,1402,1055,676,1086,2198,2466,13188,2.0,100.0,0.0
San Vicente del Caguán,1815,1580,1432,1134,693,509,910,2769,2031,12873,0.0,0.0,0.0
Tibú,518,935,1912,1581,1063,1045,2173,1880,1550,12657,1.0,0.0,0.0
Calamar,316,920,700,561,676,591,1341,2494,3292,10891,0.0,0.0,0.0
Puerto Guzmán,332,462,727,931,548,1054,851,1773,2751,9429,0.0,0.0,0.0
El Retorno,185,916,914,724,627,391,932,980,2204,7873,0.0,0.0,0.0
Solano,345,543,341,592,371,432,706,2453,1822,7605,0.0,0.0,0.0
Puerto Rico,336,400,419,554,309,331,313,2100,1850,6612,0.0,0.0,0.0
Uribe,282,466,248,135,321,288,210,1942,1471,5363,1.0,100.0,0.0
Vistahermosa,160,449,275,498,467,360,232,1797,1071,5309,1.0,0.0,100.0
Puerto Leguízamo,259,134,519,812,500,622,455,780,766,4847,1.0,0.0,100.0
Ríosucio,263,640,286,497,294,591,697,631,522,4421,6.0,31.91,68.09
Puerto Asís,251,91,460,670,419,869,530,210,288,3788,1.0,100.0,0.0
Cumaribo,241,147,139,497,176,235,442,920,831,3628,0.0,0.0,0.0
Orito,149,9,316,393,320,882,514,157,205,2945,0.0,0.0,0.0
Tierralta,378,415,97,101,129,443,200,326,830,2919,3.0,44.44,55.56
Miraflores,141,119,298,225,260,188,347,459,776,2813,1.0,0.0,100.0
Sardinata,54,198,401,399,163,246,526,225,361,2573,0.0,0.0,0.0
Puerto Caicedo,91,61,186,329,189,526,383,198,578,2541,0.0,0.0,0.0
Mitú,0,2,204,490,159,172,450,496,387,2360,0.0,0.0,0.0
Remedios,153,78,88,79,46,154,444,534,470,2046,0.0,0.0,0.0
Villagarzón,41,30,240,208,151,488,269,145,318,1890,0.0,0.0,0.0
Santa Marta,227,365,281,273,79,23,264,18,239,1769,2.0,86.96,13.04
Valle del Guamuez,160,26,143,178,181,390,227,109,156,1570,0.0,0.0,0.0
Segovia,103,162,74,102,38,183,278,278,294,1512,2.0,0.0,50.0
El Bagre,59,80,50,106,24,124,92,293,608,1436,2.0,33.33,0.0
