LEVEL_3,alertas_2017,alertas_2018,alertas_2019,alertas_2020,alertas_2021,alertas_2022,alertas_2023,alertas_2024,alertas_2025,alertas_total
Mutatá,76,138,31,9,2,24,18,1,13,312
Sin decisión Pol Adm Inírida,1,0,1,23,11,46,123,47,53,305
Fundación,4,23,39,20,2,3,128,9,73,301
Tiquisio,2,0,36,25,18,28,139,37,6,291
ETI de La Chorrera,0,0,49,77,2,27,86,12,37,290
Roberto Payán,86,22,7,1,11,52,68,22,13,282
Tame,16,3,13,22,15,10,12,25,164,280
ETI del Bajo Guainía,0,0,4,15,18,35,129,43,33,277
Vegachí,14,0,34,4,9,38,88,50,39,276
ETI del Papurí,0,0,28,110,15,31,56,17,7,264
Ricaurte,13,24,6,2,2,32,136,31,17,263
La Belleza,2,0,11,18,37,49,56,42,48,263
Murindó,50,117,7,3,1,63,15,1,0,257
Arauca,1,9,15,1,1,9,1,3,211,251
Ríonegro,1,3,6,3,5,68,93,36,34,249
ETI UITIBOC-ASOAINTAM,0,0,5,23,3,196,8,3,7,245
Norosí,6,3,40,9,11,40,55,65,15,244
La Esperanza,1,2,2,0,7,55,65,50,60,242
Yolombó,4,0,75,16,1,23,76,16,30,241
Vigía del Fuerte,50,146,0,3,1,23,9,3,5,240
Ituango,24,54,21,18,9,67,26,13,8,240
Medio San Juan,91,6,8,12,7,49,41,13,11,238
San José del Palmar,3,47,13,8,19,47,34,38,25,234
San Onofre,0,32,30,12,14,18,82,16,29,233
Carurú,0,0,4,25,13,61,74,42,11,230
Chigorodó,5,192,3,1,0,6,2,2,17,228
San Francisco,2,0,6,45,25,50,47,7,45,227
Milán,19,1,15,2,4,9,123,21,23,217
Solita,25,5,13,26,11,33,58,23,19,213
Barrancabermeja,9,0,2,1,3,81,45,37,33,211
Ríoviejo,1,2,27,15,12,45,64,26,18,210
Nuquí,14,55,12,25,7,15,34,37,8,207
Nechí,20,8,4,21,5,64,14,13,57,206
ETI Bajo Río Caquetá,0,0,7,68,3,10,60,30,27,205
ETI Arica,11,1,1,36,28,57,47,11,11,203
Santa Helena del Opón,0,0,0,0,2,82,49,37,31,201
Puerto Berrío,9,0,4,36,5,10,91,10,26,191
Puerto Parra,11,0,3,8,4,21,59,32,51,189
Simití,5,0,30,52,15,16,42,16,12,188
Ovejas,1,14,2,8,3,29,104,2,20,183
El Playón,9,3,0,0,4,58,66,33,10,183
ETI del Vaupés,0,0,2,67,16,37,29,17,13,181
Otanche,2,0,38,32,11,13,36,2,45,179
Curillo,38,5,30,22,2,21,29,25,6,178
ETI Mirití Paraná,2,0,0,34,12,14,47,15,50,174
Puerto Rondón,44,14,17,20,1,1,6,1,62,166
El Guamo,0,2,4,5,8,14,45,19,67,164
Condoto,12,8,5,1,3,51,35,22,27,164
Bahía Solano,38,58,18,12,2,7,6,18,4,163
San Carlos,6,0,7,9,21,31,32,14,40,160
Taraira,0,0,0,54,10,15,39,29,13,160
Lebrija,3,2,7,2,1,28,66,22,27,158
Yalí,1,0,6,0,9,8,71,11,51,157
San Luis,3,0,7,21,26,38,15,18,27,155
El Peñón,1,0,12,3,9,26,40,31,33,155
Sin decisión Pol Adm Mitú,0,0,1,15,5,16,44,48,25,154
El Litoral del San Juán,49,14,8,6,7,15,28,18,9,154
Sipí,6,1,8,6,5,62,34,20,11,153
La Paz,6,12,19,9,3,46,23,18,15,151
Argelia,26,20,13,15,1,26,36,0,14,151
Sonsón,4,0,0,38,38,18,13,18,22,151
San Martín de Loba,0,0,67,1,6,2,68,4,2,150
Cáchira,3,1,0,0,6,33,51,17,34,145
Morales,17,5,15,1,1,49,42,4,11,145
Caracolí,0,0,7,2,3,3,52,51,25,143
Puerto Wilches,5,0,0,0,0,8,33,30,65,141
