species,archivo,ruta,observacion_id,usuario,fecha,licencia,atribucion,url_imagen,url_observacion
Reinhardtia simplex,obs_327136704.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Reinhardtia_simplex\obs_327136704.jpg,327136704,alexheffernan,2025-11-18,cc-by-nc,"(c) Alex Heffernan, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/592604312/large.jpg,https://www.inaturalist.org/observations/327136704
Reinhardtia simplex,obs_318092807.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Reinhardtia_simplex\obs_318092807.jpg,318092807,fincadinamica,2025-07-11,cc-by-nc-nd,"(c) Finca Dinámica, some rights reserved (CC BY-NC-ND)",https://inaturalist-open-data.s3.amazonaws.com/photos/574855601/large.jpg,https://www.inaturalist.org/observations/318092807
Reinhardtia simplex,obs_308317173.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Reinhardtia_simplex\obs_308317173.jpg,308317173,jurassicplut0n,2025-08-10,cc-by-nc,"(c) jurassicplut0n, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/556235438/large.jpg,https://www.inaturalist.org/observations/308317173
Reinhardtia simplex,obs_307359971.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Reinhardtia_simplex\obs_307359971.jpg,307359971,fincadinamica,2025-04-18,cc-by-nc-nd,"(c) Finca Dinámica, some rights reserved (CC BY-NC-ND)",https://inaturalist-open-data.s3.amazonaws.com/photos/554381648/large.jpg,https://www.inaturalist.org/observations/307359971
Reinhardtia simplex,obs_239914307.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Reinhardtia_simplex\obs_239914307.jpg,239914307,nachotorres,2024-08-24,cc-by-nc,"(c) Ignacio Torres-García, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/427360814/large.jpeg,https://www.inaturalist.org/observations/239914307
