species,archivo,ruta,observacion_id,usuario,fecha,licencia,atribucion,url_imagen,url_observacion
Reinhardtia gracilis,obs_365823228.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Reinhardtia_gracilis\obs_365823228.jpg,365823228,joaquin334,2026-05-18,cc-by-nc,"(c) joaquin334, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/667933044/large.jpg,https://www.inaturalist.org/observations/365823228
Reinhardtia gracilis,obs_342479011.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Reinhardtia_gracilis\obs_342479011.jpg,342479011,elcapricho,2026-03-04,cc-by-nc,"(c) Jean-Jacques Durand, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/623655416/large.jpg,https://www.inaturalist.org/observations/342479011
Reinhardtia gracilis,obs_340923268.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Reinhardtia_gracilis\obs_340923268.jpg,340923268,jmrm2201,2026-02-02,cc-by,"(c) Jose Manuel Ramos Martinez, some rights reserved (CC BY)",https://inaturalist-open-data.s3.amazonaws.com/photos/620510328/large.jpg,https://www.inaturalist.org/observations/340923268
Reinhardtia gracilis,obs_327136060.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Reinhardtia_gracilis\obs_327136060.jpg,327136060,alexheffernan,2025-11-18,cc-by-nc,"(c) Alex Heffernan, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/592602940/large.jpg,https://www.inaturalist.org/observations/327136060
Reinhardtia gracilis,obs_313888510.jpg,C:\Users\User\Documents\Datos IA al ecosistema\Output_analisis\Imagenes iNaturalist Palmas\Reinhardtia_gracilis\obs_313888510.jpg,313888510,zorek,2025-09-12,cc-by-nc,"(c) Bryan Ramírez, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/566881927/large.jpg,https://www.inaturalist.org/observations/313888510
