species,count
Ceroxylon quindiuense,6707
Elaeis oleifera,2029
Ceroxylon vogelianum,1101
Syagrus sancona,839
Astrocaryum malybo,549
Ceroxylon alpinum,242
Aiphanes lindeniana,210
Attalea amygdalina,193
Ceroxylon sasaimae,171
Ceroxylon parvifrons,131
